State,Name,Subname,Stats,Leader Skill,Passive Skill,Active Skill,Super Attack (12 Ki) Effect,Super Attack (18 Ki) Effect,Links,Categories,Transformation Condition
Base,Anilaza,Ultimate Colossal Fighter of Universe 3,"Base Max Lv 55% 100% | HP 5,136 16,950 18,950 21,950 | ATK 3,507 11,576 13,576 16,976 | DEF 2,153 7,105 9,105 11,705","Leader Skill ""Super Bosses"" Category Ki +3 and HP, ATK & DEF +130%","Passive Skill Trump Card of Universe 3 Activates the Entrance Animation (once only) and Ki +3, ATK & DEF +130% and foresees enemy's Super Attack for 3 turns from the character's entry turn when there is another ""Final Trump Card"" or ""Super Bosses"" Category ally on the team upon the character's entry Ki +3 and ATK & DEF +130% Plus an additional Ki +3 and reduces damage received by 30% when HP is 30% or more at start of turn Randomly changes Ki Spheres of a certain Type (STR excluded) to STR Ki Spheres Launches an additional attack that has a high chance of becoming a Super Attack with 3 or more STR Ki Spheres obtained Launches an additional Super Attack with 5 or more STR Ki Spheres obtained Plus an additional ATK & DEF +130% and reduces damage received by 30% as the 1st attacker in a turn Plus an additional ATK & DEF +30% when performing a Super Attack, high chance of launching an additional Super Attack and attacks effective against all Types as the 2nd or 3rd attacker in a turn Animations: Entry","Active Skill Majestic Halation Condition: Can be activated when there is a ""Tournament Participants"" Category enemy starting from the 3rd turn from the character's entry turn, or starting from the 5th turn from the character's entry turn (once only) Causes ultimate damage to enemy; Ki +24 and ATK & DEF +30% for 1 turn Animation: Ultimate Special",Greatly raises DEF for 1 turn and causes colossal damage to enemy,Greatly raises ATK & DEF for 1 turn and causes mega-colossal damage to enemy; raises Extreme Class allies' DEF by 30% for 1 turn,"Mechanical Menaces, Infighter, Big Bad Bosses, Tough as Nails, Fused Fighter, Legendary Power, Tournament of Power","Universe Survival Saga, Fused Fighters, Final Trump Card, Super Bosses, Tournament Participants",[]
Base,Grand Supreme Kai,A God Praying for Peace,"Base Max Lv 55% 100% | HP 2,871 9,475 11,475 14,475 | ATK 2,740 9,043 11,043 14,443 | DEF 1,433 4,731 6,731 9,331","Leader Skill ""Majin Buu Saga"" Category Ki +3 and HP, ATK & DEF +130%","Passive Skill Strategy against the Majin Ki +1 (up to +4) and ATK & DEF +50% (up to 200%) per Super Class ally (self excluded) on the team Plus an additional ATK & DEF +200% when attacking Plus an additional DEF +100% within the same turn after receiving an attack High chance of guarding all attacks Guards all attacks and launches an additional attack that has a great chance of becoming a Super Attack when there is another ""Majin Buu Saga"" Category ally attacking in the same turn ""Majin Buu Saga"" or ""Potara"" Category allies' Ki +1 and ATK & DEF +40%, plus an additional Ki +1 and ATK & DEF +20% for characters who also belong to the ""Realm of Gods"" Category Plus an additional ATK +200% and performs a critical hit when there is a ""Majin Power"" Category enemy",N/A,"Greatly raises ATK & DEF for 1 turn, causes supreme damage to enemy and seals Super Attack",N/A,"Master of Magic, Cold Judgment, More Than Meets the Eye, Telekinesis, Godly Power, Supreme Power, Fierce Battle","Majin Buu Saga, Potara, Realm of Gods, Storied Figures",[]
Base,Majin Buu (Ultimate Gohan),Application of Skills and Intelligence,"Base Max Lv 55% 100% | HP 4,050 13,365 15,365 17,965 | ATK 3,363 11,098 13,098 16,498 | DEF 1,990 6,570 8,570 11,570","Leader Skill ""Power Absorption"" or ""Transformation Boost"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Artificial Life Forms"" or ""Uncontrollable Power"" Category","Passive Skill Power Merged with Buu Ki +2 and ATK & DEF +200% Guards all attacks Plus an additional ATK & DEF +58% when attacking Plus an additional ATK & DEF +100% and high chance of performing a critical hit for 6 turns from the start of battle High chance of evading enemy's attack (including Super Attack) and launches an additional attack that has a great chance of becoming a Super Attack starting from the 7th turn from the start of battle Plus an additional ATK & chance of performing a critical hit +50% and Extreme Class allies' Ki +2 and ATK & DEF +50% when there is another ""Power Absorption"" or ""Transformation Boost"" Category ally attacking in the same turn The more HP remaining when the character receives an attack for the 1st time in a turn, the greater the additional DEF boost received within the turn (up to 150%)","Active Skill Body Absorption Condition: Can be activated when all allies attacking in the same turn are ""Power Absorption"" Category characters, or starting from the 6th turn from the start of battle (once only) Creates the Domain ""Inside Majin Buu"" and transfers the character's consciousness inward for 3 turns Animation: Play",Greatly raises ATK & DEF for 1 turn and causes immense damage to enemy,N/A,"Majin, Big Bad Bosses, Metamorphosis, Shocking Speed, Fear and Faith, The Wall Standing Tall, Fierce Battle","Majin Buu Saga, Artificial Life Forms, Transformation Boost, Power Absorption, Majin Power, Uncontrollable Power, Demonic Power, Final Trump Card, Sworn Enemies, Worldwide Chaos","Can be activated when all allies attacking in the same turn are ""Power Absorption"" Category characters, or starting from the 6th turn from the start of battle (once only)"
Transformation,Buu (Super),Application of Skills and Intelligence,"Base Max Lv 55% 100% | HP 4,050 13,365 15,365 17,965 | ATK 3,363 11,098 13,098 16,498 | DEF 1,990 6,570 8,570 11,570","Leader Skill ""Power Absorption"" or ""Transformation Boost"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Artificial Life Forms"" or ""Uncontrollable Power"" Category","Passive Skill Demonic Maze Ki +6 and ATK & DEF +300% Plus an additional ATK +100% when attacking Reduces damage received by 70% Changes AGL Ki Spheres to TEQ Ki Spheres Plus an additional DEF +40% when receiving an attack and chance of performing a critical hit +5% per Ki Sphere obtained Launches an additional Super Attack with 3 or more Ki Spheres obtained and launches another additional Super Attack with 6 or more Ki Spheres obtained Launches an additional Super Attack when there is a ""Fused Fighters"" Category enemy Recovers 30% HP at the end of turn",N/A,Massively raises ATK and causes immense damage with a high chance of stunning the enemy,N/A,"Majin, Big Bad Bosses, Metamorphosis, Shocking Speed, Fear and Faith, The Wall Standing Tall, Fierce Battle","Majin Buu Saga, Artificial Life Forms, Transformation Boost, Power Absorption, Majin Power, Uncontrollable Power, Demonic Power, Final Trump Card, Sworn Enemies, Worldwide Chaos",N/A
Base,Majin Buu (Shape-Up),Thrilling Battle,"Base Max Lv 55% 100% | HP 2,777 12,259 14,259 16,859 | ATK 2,491 10,995 12,995 15,995 | DEF 1,791 7,905 9,905 13,305","Leader Skill (Extreme) AGL Type Ki +3 and HP, ATK & DEF +100%","Passive Skill (Extreme) Majin on the Warpath Ki +3 and ATK & DEF +200% Plus an additional ATK & DEF +200%, high chance of performing a critical hit and high chance of evading enemy's attack (including Super Attack) for 7 turns from the character's entry turn Plus an additional ATK, DEF, chance of performing a critical hit & chance of evading enemy's attack (including Super Attack) +10% per ""Representatives of Universe 7"" Category ally attacking in the same turn Plus an additional ATK & DEF +7% (up to 77%) and reduces damage received by 7% (up to 77%) with each attack evaded (including Super Attack)",N/A,Greatly raises ATK for 1 turn and causes supreme damage with a great chance of stunning the enemy,N/A,"The Innocents, Revival, Brainiacs, Majin, Infinite Regeneration, Shocking Speed, Fierce Battle","Universe Survival Saga, Artificial Life Forms, Transformation Boost, Power Absorption, Majin Power, Demonic Power, Mastered Evolution, Worthy Rivals, Bond of Friendship, Representatives of Universe 7, Super Heroes, Resurrected Warriors",[]
Base,Android #18,Unlimited Android Assault,"Base Max Lv 55% 100% | HP 2,626 11,592 13,592 16,192 | ATK 2,393 10,561 12,561 15,961 | DEF 1,558 6,878 8,878 11,878","Leader Skill (Extreme) TEQ Type Ki +3 and HP, ATK & DEF +100%","Passive Skill (Extreme) Strong Family Love ATK & DEF +180% Changes PHY & STR Ki Spheres to TEQ Ki Spheres Plus an additional ATK & DEF +30% per Ki Sphere obtained Plus an additional DEF +50% when receiving an attack Medium chance of performing a critical hit Plus an additional chance of performing a critical hit +18% per Rainbow Ki Sphere obtained (up to 50%) Launches an additional attack that has a high chance of becoming a Super Attack when there is another ""Representatives of Universe 7"" Category ally attacking in the same turn Reduces damage received by 35% when there is another ""Battle of Wits"" Category ally attacking in the same turn",N/A,"Greatly raises ATK for 1 turn, causes supreme damage to enemy and raises DEF by 50% for 6 turns",N/A,"Android Assault, Twin Terrors, The Innocents, Battlefield Diva, Infinite Energy, Tournament of Power, Shattering the Limit","Universe Survival Saga, Androids, Peppy Gals, Worthy Rivals, Bond of Parent and Child, Siblings' Bond, Representatives of Universe 7, Super Heroes, Tournament Participants, Battle of Wits",[]
Base,Android #17,Quietly Burning Spirit,"Base Max Lv 55% 100% | HP 2,711 11,965 13,965 16,565 | ATK 2,302 10,162 12,162 15,562 | DEF 1,629 7,189 9,189 12,189","Leader Skill (Extreme) TEQ Type Ki +3 and HP, ATK & DEF +100%","Passive Skill (Extreme) Family Vacation Dream ATK & DEF +170% Plus an additional ATK & DEF +17% per Ki Sphere obtained Plus an additional ATK +50% and DEF +20% per TEQ Ki Sphere obtained Plus an additional DEF +50% when attacking Medium chance of evading enemy's attack (including Super Attack) Plus an additional chance of evading enemy's attack (including Super Attack) +17% per Rainbow Ki Sphere obtained (up to 50%) Launches an additional attack that has a great chance of becoming a Super Attack when there is another ""Representatives of Universe 7"" Category ally attacking in the same turn Performs a critical hit when there is another ""Battle of Wits"" Category ally attacking in the same turn",N/A,"Greatly raises DEF for 1 turn, causes supreme damage to enemy and raises ATK for 6 turns",N/A,"Android Assault, Twin Terrors, Infinite Energy, Patrol, Shocking Speed, Tournament of Power, Shattering the Limit","Universe Survival Saga, Androids, Worthy Rivals, Siblings' Bond, Representatives of Universe 7, Super Heroes, Tournament Participants, Defenders of Justice, Battle of Wits",[]
Base,Piccolo,Wise Warrior,"Base Max Lv 55% 100% | HP 3,792 12,234 14,234 17,234 | ATK 2,944 9,497 11,497 14,497 | DEF 2,088 6,735 8,735 11,735","Leader Skill (Extreme) INT Type Ki +3 and HP, ATK & DEF +100%","Passive Skill (Extreme) All-Out Synergy Ki +1 and ATK & DEF +200% Attacks guaranteed to hit when HP is 80% or less and if HP is 80% or less when attacking, seals the attacked enemy's Super Attack Plus an additional ATK & DEF +100% when performing a Super Attack Plus an additional ATK & DEF +100% when there is another ""Representatives of Universe 7"" Category ally attacking in the same turn and if all allies attacking in the same turn are ""Representatives of Universe 7"" Category characters, guards all attacks ""Tournament Participants"" Category allies' Ki +1 and ATK & DEF +30%, plus an additional Ki +1 and DEF +30% for characters who also belong to the ""Representatives of Universe 7"" Category",N/A,"Massively raises ATK and raises DEF for 1 turn, causes supreme damage to enemy and lowers ATK",N/A,"Prodigies, Experienced Fighters, Namekians, Gaze of Respect, Brainiacs, The First Awakened, Shattering the Limit","Namekians, Fused Fighters, Demonic Power, Worthy Rivals, Bond of Master and Disciple, Representatives of Universe 7, Super Heroes, Tournament Participants, Earth-Bred Fighters, Gifted Warriors, Battle of Wits",[]
Base,Champa,Commands for Securing Victory,"Base Max Lv 55% 100% | HP 2,688 8,872 10,072 11,872 | ATK 2,195 7,246 8,446 10,486 | DEF 1,306 4,313 5,513 7,073","Leader Skill ""Universe 6"" Category Ki +3 and HP, ATK & DEF +66%",Passive Skill God of Destruction's Demonstration of Power Ki +3 Great chance of ATK +300% High chance of an additional ATK +400% Medium chance of an additional ATK +500% Rare chance of an additional ATK +600% DEF +50% per Ki Sphere obtained Plus an additional ATK & DEF +200% when attacking with 3 or more Ki Spheres obtained,N/A,"Greatly raises ATK for 1 turn, causes supreme damage to enemy and greatly lowers DEF",N/A,"Godly Power, Connoisseur, The Innocents, More Than Meets the Eye, Over 9000, Shocking Speed, Shattering the Limit","Universe Survival Saga, Realm of Gods, Siblings' Bond, Bond of Master and Disciple, Universe 6, Space-Traveling Warriors, Dragon Ball Seekers, Planetary Destruction",[]
Base,Saonel & Pirina,Lives Entrusted by Our Brethren,"Base Max Lv 55% 100% | HP 2,437 8,126 9,326 10,886 | ATK 2,486 8,207 9,407 11,447 | DEF 1,068 3,526 4,726 6,526","Leader Skill ""Namekians"" Category Ki +4 and HP, ATK & DEF +66%","Passive Skill Gratitude to Our Brethren Ki +1 and ATK & DEF +50% per ""Universe 6"" or ""Namekians"" Category ally on the team (depending on which Category has more members) Plus an additional ATK & DEF +100% when attacking Launches an additional attack that has a great chance of becoming a Super Attack when there is another ""Universe 6"" Category ally attacking in the same turn Recovers 10% HP at the end of turn when there is another ""Namekians"" Category ally attacking in the same turn Guards all attacks when all allies attacking in the same turn are ""Universe 6"" or ""Namekians"" Category characters",N/A,"Raises ATK & DEF for 1 turn, causes supreme damage to enemy and raises allies' ATK by 30% for 1 turn",N/A,"Tough as Nails, Cold Judgment, Tournament of Power, Namekians, Warriors of Universe 6, Hero, Shattering the Limit","Universe Survival Saga, Namekians, Fused Fighters, Demonic Power, Joined Forces, Universe 6, Tournament Participants, Entrusted Will, All-Out Struggle",[]
